nm, %T
1366.000000, 78.775088
1365.000000, 78.743630
1364.000000, 78.733176
1363.000000, 78.704517
1362.000000, 78.693413
1361.000000, 78.672529
1360.000000, 78.649373
1359.000000, 78.633574
1358.000000, 78.637200
1357.000000, 78.578014
1356.000000, 78.534814
1355.000000, 78.528863
1354.000000, 78.562997
1353.000000, 78.514761
1352.000000, 78.486703
1351.000000, 78.465861
1350.000000, 78.454737
1349.000000, 78.473758
1348.000000, 78.424629
1347.000000, 78.390347
1346.000000, 78.387528
1345.000000, 78.374780
1344.000000, 78.328145
1343.000000, 78.328273
1342.000000, 78.331410
1341.000000, 78.304726
1340.000000, 78.285527
1339.000000, 78.275345
1338.000000, 78.265150
