nm, %R
1553.000000, 16.453657
1552.000000, 16.470082
1551.000000, 16.487022
1550.000000, 16.505000
1549.000000, 16.520429
1548.000000, 16.536963
1547.000000, 16.553807
1546.000000, 16.566062
1545.000000, 16.583706
1544.000000, 16.608012
1543.000000, 16.626979
1542.000000, 16.636877
1541.000000, 16.649195
1540.000000, 16.666761
1539.000000, 16.685271
1538.000000, 16.702897
1537.000000, 16.719153
1536.000000, 16.736313
1535.000000, 16.753689
1534.000000, 16.772270
1533.000000, 16.789538
1532.000000, 16.802689
1531.000000, 16.819568
1530.000000, 16.834776
1529.000000, 16.847872
1528.000000, 16.865037
1527.000000, 16.881092
1526.000000, 16.896402
1525.000000, 16.914591
1524.000000, 16.935125
1523.000000, 16.951518
1522.000000, 16.967105
1521.000000, 16.984562
1520.000000, 17.002064
1519.000000, 17.018297
1518.000000, 17.039220
1517.000000, 17.057795
1516.000000, 17.070878
1515.000000, 17.090923
1514.000000, 17.111048
1513.000000, 17.130475
1512.000000, 17.146989
1511.000000, 17.160113
1510.000000, 17.180209
1509.000000, 17.199833
1508.000000, 17.220963
1507.000000, 17.239378
1506.000000, 17.251659
1505.000000, 17.270612
1504.000000, 17.291786
1503.000000, 17.306666
1502.000000, 17.324386
1501.000000, 17.343382
1500.000000, 17.365471
1499.000000, 17.388324
1498.000000, 17.406663
1497.000000, 17.425699
1496.000000, 17.438755
1495.000000, 17.455700
1494.000000, 17.478495
1493.000000, 17.498794
1492.000000, 17.520025
1491.000000, 17.535177
1490.000000, 17.556109
1489.000000, 17.575485
1488.000000, 17.595574
1487.000000, 17.619845
1486.000000, 17.635603
1485.000000, 17.652632
1484.000000, 17.671206
1483.000000, 17.690590
1482.000000, 17.713308
1481.000000, 17.732210
1480.000000, 17.745446
1479.000000, 17.764172
1478.000000, 17.779539
1477.000000, 17.797915
1476.000000, 17.811328
1475.000000, 17.829866
1474.000000, 17.849914
1473.000000, 17.871849
1472.000000, 17.890272
1471.000000, 17.908483
1470.000000, 17.926474
1469.000000, 17.938236
1468.000000, 17.950154
1467.000000, 17.969094
1466.000000, 17.990772
1465.000000, 18.008438
1464.000000, 18.016911
1463.000000, 18.033431
1462.000000, 18.057224
1461.000000, 18.077208
1460.000000, 18.093926
1459.000000, 18.116074
1458.000000, 18.133954
1457.000000, 18.152185
1456.000000, 18.176779
1455.000000, 18.192416
1454.000000, 18.209451
1453.000000, 18.230689
1452.000000, 18.252946
1451.000000, 18.268314
1450.000000, 18.284343
1449.000000, 18.300003
1448.000000, 18.315576
1447.000000, 18.335805
1446.000000, 18.355226
1445.000000, 18.370535
1444.000000, 18.388865
1443.000000, 18.393976
1442.000000, 18.414368
1441.000000, 18.438107
1440.000000, 18.450160
1439.000000, 18.470172
1438.000000, 18.490273
1437.000000, 18.511556
1436.000000, 18.534761
1435.000000, 18.559044
1434.000000, 18.564889
1433.000000, 18.582034
1432.000000, 18.603134
1431.000000, 18.624872
1430.000000, 18.638176
1429.000000, 18.651183
1428.000000, 18.673219
1427.000000, 18.685777
1426.000000, 18.709787
1425.000000, 18.727210
1424.000000, 18.752233
1423.000000, 18.775076
1422.000000, 18.785665
1421.000000, 18.803801
1420.000000, 18.831672
1419.000000, 18.848738
1418.000000, 18.863555
1417.000000, 18.882401
1416.000000, 18.897517
1415.000000, 18.920342
1414.000000, 18.933748
1413.000000, 18.969620
1412.000000, 18.974831
1411.000000, 19.007725
1410.000000, 19.029313
1409.000000, 19.037066
1408.000000, 19.057531
1407.000000, 19.072908
1406.000000, 19.091744
1405.000000, 19.108884
1404.000000, 19.106557
1403.000000, 19.119206
1402.000000, 19.140214
1401.000000, 19.152569
1400.000000, 19.173425
1399.000000, 19.195153
1398.000000, 19.210644
1397.000000, 19.231750
1396.000000, 19.241672
1395.000000, 19.257061
1394.000000, 19.260761
1393.000000, 19.270672
1392.000000, 19.286360
1391.000000, 19.314125
1390.000000, 19.330641
1389.000000, 19.353390
1388.000000, 19.376495
1387.000000, 19.407647
1386.000000, 19.439221
1385.000000, 19.465041
1384.000000, 19.470815
1383.000000, 19.473967
1382.000000, 19.470744
1381.000000, 19.446253
1380.000000, 19.436290
1379.000000, 19.435388
1378.000000, 19.438697
1377.000000, 19.440674
1376.000000, 19.464304
1375.000000, 19.493071
1374.000000, 19.538884
1373.000000, 19.578760
1372.000000, 19.606881
1371.000000, 19.638302
1370.000000, 19.651733
1369.000000, 19.670002
1368.000000, 19.673427
1367.000000, 19.687159
1366.000000, 19.702271
1365.000000, 19.708674
1364.000000, 19.711770
1363.000000, 19.712928
1362.000000, 19.718916
1361.000000, 19.716659
1360.000000, 19.717155
1359.000000, 19.720536
1358.000000, 19.735311
1357.000000, 19.731230
1356.000000, 19.721821
1355.000000, 19.733424
1354.000000, 19.741385
1353.000000, 19.763726
1352.000000, 19.788104
1351.000000, 19.792117
1350.000000, 19.797959
1349.000000, 19.813295
1348.000000, 19.831538
1347.000000, 19.838054
1346.000000, 19.859146
1345.000000, 19.882026
1344.000000, 19.892926
